Run,n_rises,n_falls,value_range_low,value_range_high,rise_length_min,rise_length_max,fall_length_min,fall_length_max,stable_length_min,stable_length_max,rise_noise_min,rise_noise_max,fall_noise_min,fall_noise_max,stable_noise_min,stable_noise_max,curvature,seed
1,5,4,21.313,61.202,15,74,19,48,247,345,0.1628,0.2517,0.0113,0.0423,0.0193,0.0734,0.495,43
2,6,2,27.743,84.346,11,79,21,35,250,472,0.0745,0.2183,0.0152,0.0551,0.0193,0.0443,0.9577,44
3,7,4,35.855,105.819,24,73,21,45,192,456,0.1694,0.366,0.0111,0.0574,0.0144,0.0695,0.8069,45
4,5,5,22.317,76.354,15,65,12,58,231,317,0.1444,0.4202,0.0127,0.0631,0.0182,0.0491,0.8564,46
5,3,4,42.61,87.911,12,44,11,59,186,364,0.08,0.4403,0.0127,0.0248,0.0163,0.0668,0.6877,47
6,3,3,37.873,90.828,11,68,29,50,236,473,0.1385,0.3294,0.0166,0.0299,0.0066,0.0129,0.6327,48
7,3,3,37.797,83.517,20,65,28,50,210,302,0.1665,0.4986,0.0126,0.0202,0.0184,0.057,0.5606,49
8,6,5,45.01,92.874,15,79,27,37,178,430,0.0598,0.3043,0.011,0.0294,0.0198,0.0437,0.5299,50
9,4,5,29.214,75.294,16,49,27,54,239,343,0.1709,0.412,0.0113,0.0451,0.0186,0.0672,0.4077,51
10,7,4,37.227,91.173,26,40,17,47,175,494,0.1097,0.1159,0.0087,0.0762,0.0184,0.0476,0.382,52
11,6,2,41.567,79.868,20,78,17,33,163,433,0.1729,0.3991,0.02,0.0661,0.0094,0.0307,0.7199,53
12,4,2,35.557,64.779,27,63,25,32,212,391,0.1502,0.1951,0.0189,0.0758,0.0121,0.0604,0.4004,54
13,7,5,46.119,73.102,26,49,22,45,184,451,0.1556,0.4818,0.006,0.0423,0.0101,0.0522,0.3296,55
14,4,4,20.507,118.848,22,69,10,46,181,347,0.141,0.27,0.0138,0.0311,0.0055,0.0497,0.9143,56
15,3,4,34.049,110.474,29,53,15,42,213,331,0.1144,0.3945,0.0094,0.0332,0.0078,0.0426,0.9641,57
16,5,3,46.395,74.585,23,48,22,56,249,328,0.0958,0.1518,0.0129,0.075,0.013,0.0311,0.9654,58
17,6,4,44.782,67.017,26,55,17,35,156,332,0.0509,0.4877,0.0066,0.0752,0.0114,0.0599,0.3766,59
18,3,3,20.814,63.283,30,80,29,56,247,410,0.1952,0.4974,0.0109,0.033,0.0152,0.0165,0.6975,60
19,5,3,43.158,100.269,25,69,13,43,233,500,0.1997,0.4843,0.0079,0.0573,0.015,0.0543,0.7012,61
20,5,4,42.433,106.842,14,51,12,51,206,486,0.127,0.453,0.0174,0.0322,0.0174,0.0187,0.4507,62
